nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
Canadá,38008005,9984670,América
Australia,25700000,7692024,Oceanía
India,1393409038,3287263,Asia
Nigeria,216746934,923768,África
Egipto,104124440,1002450,África
Francia,67081000,551695,Europa
México,126014024,1964375,América
Rusia,145912025,17098242,Europa/Asia
China,1444216107,9596961,Asia
Sudáfrica,60041996,1221037,África
Reino Unido,67220000,243610,Europa
Italia,59554023,301340,Europa
España,47351567,505990,Europa
Chile,19116209,756102,América
Nueva Zelanda,5084300,268021,Oceanía
Turquía,84339067,783562,Europa/Asia
